Date,Contrôle,Lieux.nom,Lieux.oblast,ID
12.08.2022,Ukraine,Kurdyumivka,Donetsk,113
12.08.2022,Contesté,Spirne,Donetsk,114
12.08.2022,Contesté,Zaytseve,Donetsk,115
12.08.2022,Contesté,Bohorodychne,Donetsk,116
12.08.2022,Russie,Makiivka,Donetsk,117
12.08.2022,Ukraine,Spartak,Donetsk,118
12.08.2022,Ukraine,Vodyane,Donetsk,119
12.08.2022,Ukraine,Novobakhmutivka,Donetsk,120
12.08.2022,Contesté,Bilohorivka,Luhansk,121
12.08.2022,Contesté,Marinka,Donetsk,122
12.08.2022,Russie,Bruskynske,Kherson,123
12.08.2022,Russie,Vesele,Kherson,124
13.08.2022,Ukraine,Oleksandropil’,Donetsk,125
13.08.2022,Ukraine,Pytomnyk,Kharkiv,126
13.08.2022,Contesté,Bakhmut,Donetsk,127
15.08.2022,Russie,Blahodativka,Kherson,128
15.08.2022,Russie,Novopetrivka,Kherson,129
15.08.2022,Ukraine,Sribne,Donetsk,130
15.08.2022,Ukraine,Sloviansk,Donetsk,131
15.08.2022,Ukraine,Vovchansk,Kharkiv,132
15.08.2022,Ukraine,Pryshyb,Donetsk,133
15.08.2022,Ukraine,Asiyivka,Kharkiv,134
15.08.2022,Ukraine,Hrushuvakha,Kharkiv,135
15.08.2022,Ukraine,Rayhorodok,Donetsk,136
15.08.2022,Ukraine,Pivnichne,Donetsk,137
15.08.2022,Ukraine,Shumy,Donetsk,138
15.08.2022,Ukraine,Bilohorivka,Donetsk,139
15.08.2022,Ukraine,Fedorivka,Donetsk,140
15.08.2022,Ukraine,Sosnivka,Kharkiv,141
15.08.2022,Ukraine,Svitlychne,Kharkiv,142
15.08.2022,Ukraine,Dementiyivka,Kharkiv,143
15.08.2022,Ukraine,Slatyne,Kharkiv,144
15.08.2022,Ukraine,Nove,Kharkiv,145
15.08.2022,Ukraine,Rus’ka Lozova,Kharkiv,146
15.08.2022,Ukraine,P’yatykhatky,Kharkiv,147
15.08.2022,Ukraine,Rus’ki Tyshky,Kharkiv,148
15.08.2022,Ukraine,Slobozhans’ke,Kharkiv,149
15.08.2022,Ukraine,Verkhniy Sqltiv,Kharkiv,150
25.08.2022,Ukraine,Petrivka,Kharkiv,151
25.08.2022,Ukraine,Staryi Karavan,Donetsk,152
25.08.2022,Ukraine,Pervomaiske,Donetsk,153
25.08.2022,Ukraine,Blahodativka,Kherson,154
25.08.2022,Ukraine,Orlivka,Donetsk,155
25.08.2022,Ukraine,Pokrov’ske,Donetsk,156
25.08.2022,Ukraine,Nevel’s’ke,Donetsk,157
25.08.2022,Ukraine,Mali Shcherbaky,Zaporizhia,158
25.08.2022,Ukraine,Dorozhnyanka,Zaporizhia,159
25.08.2022,Ukraine,Novopil’,Donetsk,160
25.08.2022,Ukraine,Velyka Novosilka,Donetsk,161
25.08.2022,Ukraine,Novomayors’ke,Donetsk,162
25.08.2022,Ukraine,Volodymyrivka,Donetsk,163
25.08.2022,Ukraine,Novomykhaylivka,Donetsk,164
25.08.2022,Ukraine,Pobyeda,Donetsk,165
26.08.2022,Russie,Pont Antonovsky,Kherson,166
26.08.2022,Russie,Evpatoria,Crimée,167
26.08.2022,Russie,Berdyansk,Zaporizhia,168
26.08.2022,Russie,Darivka,Kherson,169
26.08.2022,Russie,Timonovo,Belgorod,170
26.08.2022,Ukraine,Tetyanivka,Donetsk,171
26.08.2022,Ukraine,Tykhonivka,Donetsk,172
26.08.2022,Ukraine,Stepova Dolyna,Mykolaiv,173
26.08.2022,Ukraine,Ternivka,Kherson,174
26.08.2022,Ukraine,Velyke Artakove,Mykolaiv,175
26.08.2022,Ukraine,Ol’hyne,Kherson,176
26.08.2022,Ukraine,Topolyne,Kherson,177
26.08.2022,Ukraine,Pot’omkyne,Kherson,178
26.08.2022,Ukraine,Novodanylivka,Zaporizhia,179
26.08.2022,Ukraine,Charivne,Zaporizhia,180
26.08.2022,Ukraine,Shevchenka,Zaporizhia,181
27.08.2022,Ukraine,Zaitseve,Donetsk,182
27.08.2022,Ukraine,Mayorsk,Donetsk,183
27.08.2022,Ukraine,Kurakhove,Donetsk,184
27.08.2022,Russie,Kherson,Kherson,185
27.08.2022,Russie,Sevastopol,Crimée,186
27.08.2022,Ukraine,Dovhen’ke,Kharkiv,187
28.08.2022,Contesté,Dovhen’ke,Kharkiv,188
28.08.2022,Ukraine,Semyhirja,Donetsk,189
28.08.2022,Contesté,Kodema,Donetsk,190
28.08.2022,Ukraine,Lupareve,Mykolaiv,191
28.08.2022,Ukraine,Posad-Pokrovs’ke,Kherson,192
28.08.2022,Ukraine,Kyselivka,Mykolaiv,193
28.08.2022,Ukraine,Kvitneve,Mykolaiv,194
28.08.2022,Ukraine,Partyzans’ke,Mykolaiv,195
28.08.2022,Ukraine,Veselyi Kut,Mykolaiv,196
28.08.2022,Ukraine,Kam’yans’ke,Zaporizhia,197
28.08.2022,Ukraine,Hulyaypole,Zaporizhia,198
28.08.2022,Ukraine,Chervone,Zaporizhia,199
28.08.2022,Ukraine,Bohoyavlenka,Donetsk,200
28.08.2022,Ukraine,novooleksandrivka,Donetsk,201
28.08.2022,Russie,Oleshki,Kherson,202
28.08.2022,Ukraine,Novovorontsovka,Kherson,203
28.08.2022,Russie,Svatove,Luhansk,204
28.08.2022,Russie,Enerhodar,Zaporizhia,205
29.08.2022,Russie,Udy,Kharkiv,206
29.08.2022,Ukraine,Sukhoy Stavok,Kherson,207
29.08.2022,Ukraine,Davydiv Brid,Kherson,208
29.08.2022,Contesté,Bruskynske,Kherson,209
29.08.2022,Russie,Beryslav,Kherson,210
30.08.2022,Ukraine,Shnurky,Donetsk,211
30.08.2022,Russie,Shyroka Balka,Kherson,212
30.08.2022,Russie,Kachkarivka,Kherson,213
30.08.2022,Russie,Okip,Kharkiv,214
30.08.2022,Ukraine,Novoselivka,Mykolaiv,215
30.08.2022,Ukraine,Kalynivka,Mykolaiv,216
30.08.2022,Ukraine,Bilousove,Kherson,217
30.08.2022,Ukraine,Novoselivka,Mykolaiv,218
30.08.2022,Ukraine,Zarichne,Kherson,219
30.08.2022,Ukraine,Zelenodol’s’k,Dnipropetrovsk,220
30.08.2022,Russie,L’vove,Kherson,221
31.08.2022,Ukraine,Prudyanka,Kharkiv,222
31.08.2022,Russie,Polohy,Zaporizhia,223
31.08.2022,Ukraine,Chervona Dolyna,Mykolaiv,224
31.08.2022,Ukraine,Dobryanka,Kherson,225
31.08.2022,Ukraine,Trudolyubivka,Kherson,226
31.08.2022,Ukraine,Osokorivka,Kherson,227
31.08.2022,Ukraine,Chervonyi Yar,Mykolaiv,228
31.08.2022,Russie,Kostyrka,Kherson,229
31.08.2022,Russie,Chornobaivka,Kherson,230
31.08.2022,Russie,Bilozerka,Kherson,231
31.08.2022,Russie,Chervonohvardiiske ,Crimée,232
31.08.2022,Russie,Tokmak,Zaporizhia,233
31.08.2022,Ukraine,Nikopol’,Dnipropetrovsk,234
31.08.2022,Ukraine,Zakitne,Donetsk,235
01.09.2022,Russie,Balaklava,Crimée,236
01.09.2022,Ukraine,Novoyakovlivka,Zaporizhia,237
01.09.2022,Ukraine,Bilohir’ya,Zaporizhia,238
01.09.2022,Ukraine,Zelene Pole,Donetsk,239
01.09.2022,Ukraine,Neskuchne,Donetsk,240
01.09.2022,Ukraine,Zolota Nyva,Donetsk,241
01.09.2022,Ukraine,Klenove,Kharkiv,242
01.09.2022,Ukraine,Velyki Prokhody,Kharkiv,243
01.09.2022,Ukraine,Peremoha,Kharkiv,244
01.09.2022,Ukraine,Bayrak,Kharkiv,245
01.09.2022,Russie,Donestk,Donetsk,246
02.09.2022,Ukraine,Horlivka,Donetsk,247
02.09.2022,Ukraine,Lyubymivka,Kherson,248
02.09.2022,Ukraine,Petrivka,Kherson,249
28.08.2022,Contesté,Arkhanhel’s’ke,Kherson,250
02.09.2022,Contesté,Khreshchenivka ,Kherson,251
02.09.2022,Ukraine,Donets’ke,Donetsk,252
02.09.2022,Ukraine,Verkhnokam’yans’ke,Donetsk,253
02.09.2022,Ukraine,Pereyizne,Donetsk,254
02.09.2022,Ukraine,Sukha Balka,Donetsk,255
02.09.2022,Ukraine,Yur’Yivka,Donetsk,256
02.09.2022,Russie,Kozatske,Kherson,257
27.08.2022,Russie,Arkhanhel’s’ke,Kherson,258
02.09.2022,Ukraine,Lymany,Mykolaiv,259
02.09.2022,Ukraine,Luch,Mykolaiv,260
02.09.2022,Ukraine,Tonen’ke,Donetsk,261
02.09.2022,Ukraine,Karlivka,Donetsk,262
02.09.2022,Ukraine,Heorhiyivka,Donetsk,263
02.09.2022,Ukraine,Zaliznychne,Zaporizhia,264
02.09.2022,Ukraine,Novodarivka,Zaporizhia,265
02.09.2022,Ukraine,Novoocheretuvate,Donetsk,266
02.09.2022,Ukraine,Mykil’s’ke,Donetsk,267
02.09.2022,Ukraine,Sukhyi Stavok,Kherson,268
02.09.2022,Contesté,Kostromka,Kherson,269
02.09.2022,Contesté,Bruskynske,Kherson,270
02.09.2022,Contesté,Davydiv Brid,Kherson,271
02.09.2022,Contesté,Blahodativka,Kherson,272
02.09.2022,Russie,Pravdyne,Kherson,273
03.09.2022,Russie,Pisky,Donetsk,274
03.09.2022,Ukraine,Kreshchenivka,Kherson,275
03.09.2022,Inconnu,Myroliubivka,Kherson,276
31.08.2022,Contesté,Kozacha Lopan’,Kharkiv,277
04.09.2022,Ukraine,Pasika,Kharkiv,278
04.09.2022,Ukraine,Sulyhivka,Kharkiv,279
31.08.2022,Contesté,Ozerne,Donetsk,280
31.08.2022,Contesté,Brusivka,Donetsk,281
31.08.2022,Contesté,Solodke,Donetsk,282
04.09.2022,Ukraine,Vysokopillya,Kherson,283
04.09.2022,Ukraine,Kostromka,Kherson,284
04.09.2022,Contesté,Blahodativka,Kherson,285
04.09.2022,Ukraine,Novokalynove,Donetsk,286
04.09.2022,Ukraine,Berdychi,Donetsk,287
04.09.2022,Ukraine,Slovyansk,Donetsk,288
04.09.2022,Ukraine,Bilohirka,Kherson,289
